car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,8,,arrived,,arrived,3.3930820636085213,,,
Car 0,,8,16,,,start_charge,,starting to charge at Charger 16 (fid=8),3.3930820636085213,,0.0,
Car 1,,,,85,,arrived,,arrived,5.092319709535298,,,
Car 1,,86,9,,,start_charge,,starting to charge at Charger 9 (fid=86),5.092319709535298,,0.0,
Car 2,,,,27,,arrived,,arrived,50.129932687766974,,,
Car 2,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),50.129932687766974,,0.0,
Car 0,52.0,8,16,,,done,,done charging,55.393082063608524,,,51.031920891441445
Car 3,,,,61,,arrived,,arrived,56.86964922356096,,,
Car 3,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),56.86964922356096,,0.0,
Car 4,,,,68,,arrived,,arrived,57.36205631335496,,,
Car 4,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),57.36205631335496,,0.0,
Car 5,,,,63,,arrived,,arrived,78.48818745534865,,,
Car 5,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),78.48818745534865,,0.0,
Car 1,91.0,86,9,,,done,,done charging,96.0923197095353,,,119.778102074694
Car 6,,,,29,,arrived,,arrived,96.35664994070774,,,
Car 6,,30,10,,,start_charge,,starting to charge at Charger 10 (fid=30),96.35664994070774,,0.0,
Car 7,,,,26,,arrived,,arrived,96.40810401845027,,,
Car 7,,33,12,,,start_charge,,starting to charge at Charger 12 (fid=33),96.40810401845027,,0.0,
Car 8,,,,30,,arrived,,arrived,100.18382408641325,,,
Car 8,,57,15,,,start_charge,,starting to charge at Charger 15 (fid=57),100.18382408641325,,0.0,
Car 9,,,,3,,arrived,,arrived,104.1581993441114,,,
Car 9,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),104.1581993441114,,0.0,
Car 3,72.0,60,6,,,done,,done charging,128.86964922356097,,,183.80015979005304
Car 10,,,,50,,arrived,,arrived,129.50297221528834,,,
Car 10,,40,11,,,start_charge,,starting to charge at Charger 11 (fid=40),129.50297221528834,,0.0,
Car 2,84.0,308440,0,,,done,,done charging,134.12993268776697,,,125.09112601081497
Car 11,,,,17,,arrived,,arrived,143.61190921232227,,,
Car 11,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),143.61190921232227,,0.0,
Car 12,,,,5,,arrived,,arrived,145.84017841747612,,,
Car 12,,5,13,,,start_charge,,starting to charge at Charger 13 (fid=5),145.84017841747612,,0.0,
Car 9,49.0,60,6,,,done,,done charging,153.15819934411138,,,250.00603750409743
Car 13,,,,14,,arrived,,arrived,154.8722410267202,,,
Car 13,,57,15,,,start_charge,,starting to charge at Charger 15 (fid=57),154.8722410267202,,0.0,
Car 14,,,,24,,arrived,,arrived,163.38072487424796,,,
Car 14,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),163.38072487424796,,0.0,
Car 4,119.0,308440,0,,,done,,done charging,176.36205631335497,,,46.13370440893304
Car 5,100.0,5,13,,,done,,done charging,178.48818745534865,,,147.52671189997855
Car 15,,,,16,,arrived,,arrived,196.0944444989597,,,
Car 15,,,,,15,switch,,"Charger 15 (fid=57) not available, trying Charger 0 (fid=308440)",201.0944444989597,0,,
Car 15,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),202.83401881442276,,5.0,
Car 6,110.0,30,10,,,done,,done charging,206.35664994070774,,,21.000109280887493
Car 16,,,,11,,arrived,,arrived,206.69125132355123,,,
Car 16,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),206.69125132355123,,0.0,
Car 8,109.0,57,15,,,done,,done charging,209.18382408641327,,,88.45883069110523
Car 7,114.0,33,12,,,done,,done charging,210.40810401845027,,,53.74301665094826
Car 17,,,,37,,arrived,,arrived,212.65062284575924,,,
Car 17,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),212.65062284575924,,0.0,
Car 10,91.0,40,11,,,done,,done charging,220.50297221528834,,,55.35955402533605
Car 11,85.0,308702,1,,,done,,done charging,228.61190921232227,,,30.763536663362352
Car 14,67.0,308440,0,,,done,,done charging,230.38072487424796,,,124.32994701169515
Car 18,,,,67,,arrived,,arrived,236.9637283855946,,,
Car 18,,57,15,,,start_charge,,starting to charge at Charger 15 (fid=57),236.9637283855946,,0.0,
Car 19,,,,124,,arrived,,arrived,239.68917377698455,,,
Car 19,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),239.68917377698455,,0.0,
Car 20,,,,77,,arrived,,arrived,241.64669142544915,,,
Car 20,,60,6,,,start_charge,,starting to charge at Charger 6 (fid=60),241.64669142544915,,0.0,
Car 21,,,,17,,arrived,,arrived,242.15545976357146,,,
Car 21,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),242.15545976357146,,0.0,
Car 12,99.0,5,13,,,done,,done charging,244.84017841747612,,,33.65698085203282
Car 15,48.0,308440,0,,,done,,done charging,250.83401881442276,,,203.64786556725295
Car 22,,,,77,,arrived,,arrived,259.10790767122063,,,
Car 23,,,,37,,arrived,,arrived,262.8008953140427,,,
Car 23,,73,5,,,start_charge,,starting to charge at Charger 5 (fid=73),262.8008953140427,,0.0,
Car 22,,,,,6,switch,,"Charger 6 (fid=60) not available, trying Charger 11 (fid=40)",264.10790767122063,11,,
Car 22,,40,11,,,start_charge,,starting to charge at Charger 11 (fid=40),266.4362494130233,,5.0,
Car 13,112.0,57,15,,,done,,done charging,266.8722410267202,,,82.77156543806247
Car 24,,,,14,,arrived,,arrived,267.8936317258387,,,
Car 24,,57,15,,,start_charge,,starting to charge at Charger 15 (fid=57),267.8936317258387,,0.0,
Car 16,67.0,60,6,,,done,,done charging,273.6912513235512,,,159.7583830982139
Car 25,,,,72,,arrived,,arrived,301.4314847484469,,,
Car 25,,,,,15,switch,,"Charger 15 (fid=57) not available, trying Charger 0 (fid=308440)",306.4314847484469,0,,
Car 19,68.0,308440,0,,,done,,done charging,307.68917377698455,,,54.93268712686712
Car 25,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),308.17105906391,,5.0,
Car 26,,,,65,,arrived,,arrived,308.201843579188,,,
Car 26,,8,16,,,start_charge,,starting to charge at Charger 16 (fid=8),308.201843579188,,0.0,
Car 27,,,,52,,arrived,,arrived,310.9106098093887,,,
