car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,86,,arrived,,arrived,5.111116083045159,,,
Car 0,,116,0,,,start_charge,,starting to charge at Charger 0 (fid=116),5.111116083045159,,0.0,
Car 1,,,,37,,arrived,,arrived,7.5798539190515735,,,
Car 1,,63,2,,,start_charge,,starting to charge at Charger 2 (fid=63),7.5798539190515735,,0.0,
Car 2,,,,57,,arrived,,arrived,12.563857913334768,,,
Car 2,,55,1,,,start_charge,,starting to charge at Charger 1 (fid=55),12.563857913334768,,0.0,
Car 3,,,,30,,arrived,,arrived,13.602351562862928,,,
Car 3,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),13.602351562862928,,0.0,
Car 4,,,,78,,arrived,,arrived,14.846459095745104,,,
Car 4,,63,2,,,start_charge,,starting to charge at Charger 2 (fid=63),14.846459095745104,,0.0,
Car 5,,,,14,,arrived,,arrived,42.289015372296475,,,
Car 5,,55,1,,,start_charge,,starting to charge at Charger 1 (fid=55),42.289015372296475,,0.0,
Car 6,,,,36,,arrived,,arrived,57.737702150062965,,,
Car 7,,,,57,,arrived,,arrived,59.947712349754745,,,
Car 0,57.0,116,0,,,done,,done charging,62.11111608304516,,,319.595557680332
Car 6,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 0 (fid=116)",62.737702150062965,0,,
Car 7,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 4 (fid=17)",64.94771234975474,4,,
Car 6,,116,0,,,start_charge,,starting to charge at Charger 0 (fid=116),65.0047893453324,,5.0,
Car 8,,,,1,,arrived,,arrived,65.37393740643537,,,
Car 8,,116,0,,,start_charge,,starting to charge at Charger 0 (fid=116),65.37393740643537,,0.0,
Car 3,52.0,17,4,,,done,,done charging,65.60235156286294,,,56.96530415086324
Car 7,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),66.27288747617925,,4.999999999999993,
Car 9,,,,24,,arrived,,arrived,71.53385053456093,,,
Car 10,,,,56,,arrived,,arrived,74.05097756938233,,,
Car 9,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 0 (fid=116)",76.53385053456093,0,,
Car 10,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 4 (fid=17)",79.05097756938233,4,,
Car 10,,17,4,,,start_charge,,starting to charge at Charger 4 (fid=17),80.37615269580684,,5.0,
Car 9,,,,,0,switch,,"Charger 0 (fid=116) not available, trying Charger 4 (fid=17)",83.80093772983037,4,,
Car 4,70.0,63,2,,,done,,done charging,84.8464590957451,,,84.00100314876792
Car 11,,,,37,,arrived,,arrived,87.18794586828857,,,
Car 11,,63,2,,,start_charge,,starting to charge at Charger 2 (fid=63),87.18794586828857,,0.0,
Car 12,,,,62,,arrived,,arrived,87.5480257663438,,,
Car 13,,,,21,,arrived,,arrived,89.69896163335066,,,
Car 9,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 3 (fid=32)",92.31674809005214,3,,
Car 12,,,,,2,switch,,"Charger 2 (fid=63) not available, trying Charger 1 (fid=55)",92.5480257663438,1,,
Car 9,,32,3,,,start_charge,,starting to charge at Charger 3 (fid=32),93.62894017422173,,15.0,
Car 13,,,,,0,switch,,"Charger 0 (fid=116) not available, trying Charger 1 (fid=55)",94.69896163335066,1,,
Car 14,,,,32,,arrived,,arrived,98.51210610432642,,,
Car 14,,32,3,,,start_charge,,starting to charge at Charger 3 (fid=32),98.51210610432642,,0.0,
Car 12,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 0 (fid=116)",100.37367109689494,0,,
Car 13,,,,,1,switch,,"Charger 1 (fid=55) not available, trying Charger 4 (fid=17)",101.9660488286201,4,,
Car 12,,,,,0,switch,,"Charger 0 (fid=116) not available, trying Charger 4 (fid=17)",107.64075829216438,4,,
Car 13,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 2 (fid=63)",108.29122395504461,2,,
Car 15,,,,74,,arrived,,arrived,109.8312764179783,,,
Car 15,,,,,0,switch,,"Charger 0 (fid=116) not available, trying Charger 1 (fid=55)",114.8312764179783,1,,
Car 13,,,,,2,switch,,"Charger 2 (fid=63) not available, trying Charger 3 (fid=32)",115.8348789402577,3,,
Car 12,,,,,4,switch,,"Charger 4 (fid=17) not available, trying Charger 3 (fid=32)",116.15656865238616,3,,
Car 1,112.0,63,2,,,done,,done charging,119.57985391905157,,,80.50333211118276
