car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,70,,arrived,,arrived,9.050950435470115,,,
Car 0,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),9.050950435470115,,0.0,
Car 1,,,,54,,arrived,,arrived,19.42996588998974,,,
Car 1,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),19.42996588998974,,0.0,
Car 2,,,,37,,arrived,,arrived,64.34617720005257,,,
Car 2,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),64.34617720005257,,0.0,
Car 0,56.0,308440,0,,,done,,done charging,65.05095043547011,,,107.15313332298842
Car 1,78.0,308440,0,,,done,,done charging,97.42996588998975,,,186.2715086920258
Car 3,,,,55,,arrived,,arrived,99.05606838239123,,,
Car 3,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),99.05606838239123,,0.0,
Car 2,66.0,308702,1,,,done,,done charging,130.34617720005258,,,270.1505183679593
Car 4,,,,37,,arrived,,arrived,141.94133501475514,,,
Car 4,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),141.94133501475514,,0.0,
Car 5,,,,62,,arrived,,arrived,152.15292025840137,,,
Car 5,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),152.15292025840137,,0.0,
Car 3,73.0,308440,0,,,done,,done charging,172.05606838239123,,,147.4353700501166
Car 6,,,,78,,arrived,,arrived,183.47993548648242,,,
Car 6,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),183.47993548648242,,0.0,
Car 7,,,,73,,arrived,,arrived,210.4461439913652,,,
Car 7,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),210.4461439913652,,0.0,
Car 5,73.0,307904,2,,,done,,done charging,225.15292025840137,,,332.9998749286329
Car 8,,,,18,,arrived,,arrived,242.2497395065191,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),242.2497395065191,,0.0,
Car 4,109.0,308702,1,,,done,,done charging,250.94133501475514,,,270.1505183679593
Car 6,69.0,47,5,,,done,,done charging,252.47993548648242,,,459.93880067836443
Car 9,,,,37,,arrived,,arrived,266.0187410197432,,,
Car 9,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),266.0187410197432,,0.0,
Car 10,,,,117,,arrived,,arrived,304.19132541447715,,,
Car 10,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),304.19132541447715,,0.0,
Car 11,,,,50,,arrived,,arrived,305.4427808006319,,,
Car 11,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),305.4427808006319,,0.0,
Car 7,96.0,308702,1,,,done,,done charging,306.4461439913652,,,326.62528984835353
Car 8,74.0,308440,0,,,done,,done charging,316.24973950651906,,,126.94988178620345
Car 12,,,,69,,arrived,,arrived,325.47115134855085,,,
Car 12,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),325.47115134855085,,0.0,
Car 10,48.0,307904,2,,,done,,done charging,352.19132541447715,,,194.49240024093407
Car 13,,,,46,,arrived,,arrived,367.42811766897876,,,
Car 13,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),367.42811766897876,,0.0,
Car 14,,,,30,,arrived,,arrived,373.3943378764209,,,
Car 9,108.0,308702,1,,,done,,done charging,374.0187410197432,,,270.1505183679593
Car 14,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),374.0187410197432,,0.6244031433222972,
Car 15,,,,8,,arrived,,arrived,383.8008284790468,,,
Car 11,80.0,308108,4,,,done,,done charging,385.4427808006319,,,343.9023204186844
Car 15,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",388.8008284790468,5,,
Car 15,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),390.61196973462415,,5.0,
Car 12,69.0,308440,0,,,done,,done charging,394.47115134855085,,,50.96015061371372
Car 16,,,,22,,arrived,,arrived,394.6261769170499,,,
Car 16,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),394.6261769170499,,0.0,
Car 17,,,,37,,arrived,,arrived,397.64599334433535,,,
Car 17,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",402.64599334433535,5,,
Car 17,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),404.4571345999127,,5.0,
Car 18,,,,62,,arrived,,arrived,409.6111274803223,,,
Car 18,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),409.6111274803223,,0.0,
Car 19,,,,51,,arrived,,arrived,416.86253654742035,,,
Car 19,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),416.86253654742035,,0.0,
Car 20,,,,78,,arrived,,arrived,418.5753063355752,,,
Car 21,,,,85,,arrived,,arrived,422.7949608370654,,,
Car 21,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),422.7949608370654,,0.0,
Car 20,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 0 (fid=308440)",423.5753063355752,0,,
Car 22,,,,21,,arrived,,arrived,427.0675342847021,,,
Car 20,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),427.6222295319159,,5.0,
Car 23,,,,51,,arrived,,arrived,428.65530500144627,,,
Car 24,,,,45,,arrived,,arrived,430.84358279543625,,,
Car 22,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",432.0675342847021,3,,
Car 22,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),432.33116046626617,,5.0,
Car 23,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",433.65530500144627,2,,
Car 24,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",435.84358279543625,3,,
Car 25,,,,8,,arrived,,arrived,437.3765571799006,,,
Car 26,,,,49,,arrived,,arrived,438.50890944611604,,,
Car 24,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",441.1072089770003,0,,
Car 23,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",442.1614380160777,3,,
Car 27,,,,73,,arrived,,arrived,442.34385256354386,,,
Car 25,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",442.3765571799006,5,,
Car 26,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=308702)",443.50890944611604,1,,
Car 27,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",447.34385256354386,0,,
Car 23,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",447.42506419764175,0,,
Car 25,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 0 (fid=308440)",449.18769843547796,0,,
Car 26,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",450.3200507016934,0,,
Car 24,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 4 (fid=308108)",450.4600333075144,4,,
Car 16,58.0,308440,0,,,done,,done charging,452.6261769170499,,,134.48637215029
Car 27,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),452.6261769170499,,7.171871726107611,
Car 28,,,,118,,arrived,,arrived,452.8646679425735,,,
Car 29,,,,13,,arrived,,arrived,454.896009819748,,,
Car 13,89.0,308702,1,,,done,,done charging,456.42811766897876,,,141.95031469366253
Car 29,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),456.42811766897876,,1.5321078492307834,
Car 23,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",456.7778885281558,1,,
Car 28,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",457.8646679425735,3,,
Car 25,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 4 (fid=308108)",458.23462163181864,4,,
Car 30,,,,79,,arrived,,arrived,458.33480813557105,,,
Car 26,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",458.43050332909183,2,,
Car 19,45.0,308108,4,,,done,,done charging,461.86253654742035,,,240.73257720431047
Car 24,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),461.86253654742035,,19.041044196858138,
Car 14,89.0,308702,1,,,done,,done charging,463.0187410197432,,,88.45067109328377
Car 23,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),463.0187410197432,,23.130399864188917,
Car 28,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",463.12829412413754,0,,
Car 30,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",463.33480813557105,3,,
Car 26,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",467.7669908279851,3,,
Car 30,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",468.5984343171351,0,,
Car 31,,,,61,,arrived,,arrived,468.96758154720186,,,
Car 25,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",470.59608067486647,2,,
Car 32,,,,66,,arrived,,arrived,471.50810754292075,,,
Car 28,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 4 (fid=308108)",472.4811184546516,4,,
Car 26,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",473.0306170095492,4,,
Car 31,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",473.96758154720186,2,,
Car 17,70.0,47,5,,,done,,done charging,474.4571345999127,,,323.5452880591387
Car 32,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",476.50810754292075,2,,
Car 21,55.0,308108,4,,,done,,done charging,477.7949608370654,,,201.56588025333605
Car 26,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),477.7949608370654,,26.241873981264064,
Car 30,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 4 (fid=308108)",477.9512586476492,4,,
Car 25,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",479.1022136894979,3,,
Car 15,91.0,47,5,,,done,,done charging,481.61196973462415,,,456.600164696248
Car 31,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",482.4737145618333,3,,
Car 33,,,,14,,arrived,,arrived,483.57607019797393,,,
Car 34,,,,11,,arrived,,arrived,483.7673384983994,,,
Car 25,,,,,,gave_up,3,"no alternate charger available, gave up",484.36583987106195,,,
Car 28,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 1 (fid=308702)",484.84257749769944,1,,
Car 32,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",485.01424055755217,3,,
Car 31,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",487.73734074339734,0,,
Car 33,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",488.57607019797393,2,,
Car 34,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",488.7673384983994,2,,
Car 32,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",490.27786673911623,0,,
Car 30,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 1 (fid=308702)",490.312717690697,1,,
Car 22,60.0,307905,3,,,done,,done charging,492.33116046626617,,,175.53680041469218
Car 35,,,,78,,arrived,,arrived,492.3575227691596,,,
Car 35,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),492.3575227691596,,0.0,
Car 36,,,,55,,arrived,,arrived,494.6457906433292,,,
Car 31,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",497.0901650739114,1,,
Car 33,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",497.9125576968672,3,,
Car 37,,,,45,,arrived,,arrived,497.98601981182094,,,
Car 34,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",498.1038259972927,3,,
Car 33,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),498.1761838784313,,10.0,
Car 28,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",498.2406536279468,5,,
Car 38,,,,83,,arrived,,arrived,498.8488302226075,,,
Car 32,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 5 (fid=47)",499.6306910696303,5,,
Car 36,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",499.6457906433292,1,,
Car 28,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),500.05179488352417,,25.0,
Car 37,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",502.98601981182094,3,,
Car 34,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 1 (fid=308702)",503.36745217885675,1,,
Car 30,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",503.71079382094433,5,,
Car 38,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",503.8488302226075,3,,
Car 29,48.0,308702,1,,,done,,done charging,504.42811766897876,,,181.8598051237657
Car 31,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),504.42811766897876,,24.227499967668905,
Car 39,,,,4,,arrived,,arrived,505.6555383401642,,,
Car 40,,,,32,,arrived,,arrived,507.1910625822465,,,
Car 27,55.0,308440,0,,,done,,done charging,507.6261769170499,,,355.17279174772494
Car 40,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),507.6261769170499,,0.43511433480341566,
Car 36,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 2 (fid=307904)",507.7562432707276,2,,
Car 37,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",508.249645993385,0,,
Car 32,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 1 (fid=308702)",508.677614265971,1,,
Car 38,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",509.11245640417155,0,,
Car 30,,,,,,gave_up,5,"no alternate charger available, gave up",510.5219350765217,,,
Car 39,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",510.6555383401642,3,,
Car 34,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 5 (fid=47)",514.8715683886229,5,,
Car 41,,,,75,,arrived,,arrived,515.1337118104583,,,
Car 32,,,,,,gave_up,1,"no alternate charger available, gave up",515.4887555215483,,,
Car 18,106.0,307904,2,,,done,,done charging,515.6111274803222,,,332.9998749286329
Car 36,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),515.6111274803222,,11.367104831449183,
Car 39,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 4 (fid=308108)",515.9191645217282,4,,
Car 20,89.0,308440,0,,,done,,done charging,516.6222295319159,,,516.0337118315456
Car 37,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),516.6222295319159,,14.019759208016808,
Car 38,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 4 (fid=308108)",518.4652807346856,4,,
Car 41,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",520.1337118104583,2,,
Car 42,,,,28,,arrived,,arrived,520.8239983909071,,,
Car 34,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 4 (fid=308108)",521.6827096442003,4,,
Car 43,,,,85,,arrived,,arrived,521.9396660237743,,,
Car 39,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 0 (fid=308440)",524.4416343679804,0,,
Car 42,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 2 (fid=307904)",525.8239983909071,2,,
Car 43,,,,,4,switch,,"Charger 4 (fid=308108) not available, trying Charger 2 (fid=307904)",526.9396660237743,2,,
Car 44,,,,21,,arrived,,arrived,527.6627688913495,,,
Car 41,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",528.6398448250897,3,,
Car 24,67.0,308108,4,,,done,,done charging,528.8625365474204,,,363.98650598659793
Car 38,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),528.8625365474204,,18.035796769686954,
Car 44,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",532.6627688913495,3,,
Car 23,70.0,308702,1,,,done,,done charging,533.0187410197432,,,627.6925170897977
Car 41,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",533.9034710066537,0,,
Car 42,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",535.1604858898004,3,,
Car 43,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",535.4457990384057,3,,
Car 34,,,,,,gave_up,4,"no alternate charger available, gave up",535.7217794081953,,,
Car 39,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",536.8030934110283,1,,
Car 44,,,,,3,switch,,"Charger 3 (fid=307905) not available, trying Charger 0 (fid=308440)",537.9263950729136,0,,
Car 35,46.0,47,5,,,done,,done charging,538.3575227691596,,,459.93880067836443
