car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,23,,arrived,,arrived,56.86964922356096,,,
Car 0,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),56.86964922356096,,0.0,
Car 1,,,,7,,arrived,,arrived,57.36205631335496,,,
Car 1,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),57.36205631335496,,0.0,
Car 2,,,,60,,arrived,,arrived,63.393082063608524,,,
Car 2,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),63.393082063608524,,0.0,
Car 3,,,,28,,arrived,,arrived,65.0923197095353,,,
Car 3,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),65.0923197095353,,0.0,
Car 2,55.0,307904,2,,,done,,done charging,118.39308206360852,,,333.37963750819455
Car 0,76.0,308440,0,,,done,,done charging,132.86964922356097,,,129.3606490855319
Car 3,91.0,308440,0,,,done,,done charging,156.0923197095353,,,197.2293398759669
Car 1,101.0,308108,4,,,done,,done charging,158.36205631335497,,,138.47203364136507
Car 4,,,,31,,arrived,,arrived,164.15819934411138,,,
Car 4,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),164.15819934411138,,0.0,
Car 5,,,,13,,arrived,,arrived,170.12993268776697,,,
Car 5,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),170.12993268776697,,0.0,
Car 6,,,,41,,arrived,,arrived,198.48818745534865,,,
Car 6,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),198.48818745534865,,0.0,
Car 5,45.0,308702,1,,,done,,done charging,215.12993268776697,,,181.8598051237657
Car 7,,,,54,,arrived,,arrived,220.18382408641327,,,
Car 7,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),220.18382408641327,,0.0,
Car 4,99.0,308440,0,,,done,,done charging,263.1581993441114,,,136.73927737693603
Car 8,,,,25,,arrived,,arrived,276.35664994070777,,,
Car 8,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),276.35664994070777,,0.0,
Car 9,,,,3,,arrived,,arrived,276.4081040184503,,,
Car 9,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),276.4081040184503,,0.0,
Car 7,59.0,308440,0,,,done,,done charging,279.18382408641327,,,186.2715086920258
Car 6,94.0,308702,1,,,done,,done charging,292.4881874553487,,,117.27672218926217
Car 10,,,,9,,arrived,,arrived,309.5029722152883,,,
Car 10,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),309.5029722152883,,0.0,
Car 11,,,,54,,arrived,,arrived,325.8401784174761,,,
Car 11,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",330.8401784174761,1,,
Car 8,56.0,308440,0,,,done,,done charging,332.35664994070777,,,113.2555742822028
Car 9,57.0,307904,2,,,done,,done charging,333.4081040184503,,,134.89564883798306
Car 11,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),333.95063104487457,,5.0,
Car 12,,,,47,,arrived,,arrived,334.8722410267202,,,
Car 12,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),334.8722410267202,,0.0,
Car 13,,,,63,,arrived,,arrived,362.15545976357146,,,
Car 13,,,,,1,switch,,"Charger 1 (fid=308702) not available, trying Charger 0 (fid=308440)",367.15545976357146,0,,
Car 13,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),370.2659123909699,,5.0,
Car 14,,,,68,,arrived,,arrived,376.09444449895966,,,
Car 14,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 1 (fid=308702)",381.09444449895966,1,,
Car 11,48.0,308702,1,,,done,,done charging,381.95063104487457,,,238.00146318427056
Car 10,74.0,308440,0,,,done,,done charging,383.5029722152883,,,401.3072546947882
Car 15,,,,73,,arrived,,arrived,383.6119092123223,,,
Car 15,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),383.6119092123223,,0.0,
Car 16,,,,45,,arrived,,arrived,386.6912513235512,,,
Car 16,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),386.6912513235512,,0.0,
