car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,73,,arrived,,arrived,37.374101693382116,,,
Car 0,,37,6,,,start_charge,,starting to charge at Charger 6 (fid=37),37.374101693382116,,0.0,
Car 1,,,,4,,arrived,,arrived,44.39391448439584,,,
Car 1,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),44.39391448439584,,0.0,
Car 2,,,,77,,arrived,,arrived,44.50721935564376,,,
Car 2,,51,12,,,start_charge,,starting to charge at Charger 12 (fid=51),44.50721935564376,,0.0,
Car 3,,,,64,,arrived,,arrived,47.7116139339418,,,
Car 3,,308108,4,,,start_charge,,starting to charge at Charger 4 (fid=308108),47.7116139339418,,0.0,
Car 4,,,,9,,arrived,,arrived,56.54701702662302,,,
Car 4,,8,8,,,start_charge,,starting to charge at Charger 8 (fid=8),56.54701702662302,,0.0,
Car 5,,,,3,,arrived,,arrived,61.74031369701689,,,
Car 5,,62,5,,,start_charge,,starting to charge at Charger 5 (fid=62),61.74031369701689,,0.0,
Car 6,,,,56,,arrived,,arrived,87.93735926268633,,,
Car 6,,57,14,,,start_charge,,starting to charge at Charger 14 (fid=57),87.93735926268633,,0.0,
Car 7,,,,26,,arrived,,arrived,98.93847318821545,,,
Car 7,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),98.93847318821545,,0.0,
Car 0,77.0,37,6,,,done,,done charging,114.37410169338212,,,89.51947773328097
Car 8,,,,41,,arrived,,arrived,115.33949979992502,,,
Car 8,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),115.33949979992502,,0.0,
Car 9,,,,22,,arrived,,arrived,116.60140301989883,,,
Car 9,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),116.60140301989883,,0.0,
Car 4,65.0,8,8,,,done,,done charging,121.54701702662302,,,118.27804678478897
Car 3,76.0,308108,4,,,done,,done charging,123.7116139339418,,,153.3500347553433
Car 10,,,,14,,arrived,,arrived,126.79235787918866,,,
Car 10,,57,14,,,start_charge,,starting to charge at Charger 14 (fid=57),126.79235787918866,,0.0,
Car 11,,,,11,,arrived,,arrived,134.79436995718982,,,
Car 11,,,,,5,switch,,"Charger 5 (fid=62) not available, trying Charger 14 (fid=57)",139.79436995718982,14,,
Car 12,,,,10,,arrived,,arrived,148.14414286692983,,,
Car 12,,8,8,,,start_charge,,starting to charge at Charger 8 (fid=8),148.14414286692983,,0.0,
Car 11,,,,,14,switch,,"Charger 14 (fid=57) not available, trying Charger 6 (fid=37)",148.4317506138426,6,,
Car 2,104.0,51,12,,,done,,done charging,148.50721935564377,,,118.48373801680106
Car 11,,37,6,,,start_charge,,starting to charge at Charger 6 (fid=37),151.4282893404439,,10.0,
Car 13,,,,34,,arrived,,arrived,152.6256515541558,,,
Car 13,,30,7,,,start_charge,,starting to charge at Charger 7 (fid=30),152.6256515541558,,0.0,
Car 1,112.0,62,5,,,done,,done charging,156.39391448439585,,,180.34159891744343
Car 5,105.0,62,5,,,done,,done charging,166.7403136970169,,,228.9305914929329
Car 14,,,,19,,arrived,,arrived,174.05402950503736,,,
Car 14,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),174.05402950503736,,0.0,
Car 15,,,,31,,arrived,,arrived,180.78685137533412,,,
Car 15,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),180.78685137533412,,0.0,
Car 6,93.0,57,14,,,done,,done charging,180.93735926268633,,,95.28738609102875
Car 9,68.0,30,7,,,done,,done charging,184.60140301989884,,,116.49554973819289
