car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 240,,,,87,,arrived,arrived,13.0,,
Car 240,,76,11,,,start_charge,starting to charge at Charger 11 (fid=76),13.0,,
Car 126,,,,38,,arrived,arrived,21.0,,
Car 126,,5,21,,,start_charge,starting to charge at Charger 21 (fid=5),21.0,,
Car 226,,,,21,,arrived,arrived,24.0,,
Car 226,,3,17,,,start_charge,starting to charge at Charger 17 (fid=3),24.0,,
Car 17,,,,21,,arrived,arrived,25.0,,
Car 17,,19,9,,,start_charge,starting to charge at Charger 9 (fid=19),25.0,,
Car 104,,,,29,,arrived,arrived,26.0,,
Car 104,,35,18,,,start_charge,starting to charge at Charger 18 (fid=35),26.0,,
Car 18,,,,72,,arrived,arrived,34.0,,
Car 18,,70,24,,,start_charge,starting to charge at Charger 24 (fid=70),34.0,,
Car 30,,,,3,,arrived,arrived,37.0,,
Car 30,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 1 (fid=74)",38.0,1,
Car 30,,74,1,,,start_charge,starting to charge at Charger 1 (fid=74),40.4653655680031,,
Car 10,,,,70,,arrived,arrived,58.0,,
Car 10,,,,,24,switch,"Charger 24 (fid=70) not available, trying Charger 9 (fid=19)",59.0,9,
Car 10,,,,,9,switch,"Charger 9 (fid=19) not available, trying Charger 18 (fid=35)",61.24660525755251,18,
Car 10,,,,,18,switch,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",64.14259865613909,6,
Car 10,,34,6,,,start_charge,starting to charge at Charger 6 (fid=34),64.38686265946107,,
Car 67,,,,79,,arrived,arrived,65.0,,
Car 69,,,,82,,arrived,arrived,66.0,,
Car 67,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 20 (fid=26)",66.0,20,
Car 69,,,,,11,switch,"Charger 11 (fid=76) not available, trying Charger 25 (fid=88)",67.0,25,
Car 69,,88,25,,,start_charge,starting to charge at Charger 25 (fid=88),68.25577105422764,,
Car 67,,26,20,,,start_charge,starting to charge at Charger 20 (fid=26),68.70718835232394,,
Car 168,,,,37,,arrived,arrived,72.0,,
Car 168,,,,,21,switch,"Charger 21 (fid=5) not available, trying Charger 4 (fid=63)",73.0,4,
Car 168,,63,4,,,start_charge,starting to charge at Charger 4 (fid=63),74.77102895441598,,
Car 239,,,,2,,arrived,arrived,77.0,,
Car 239,,,,,11,switch,"Charger 11 (fid=76) not available, trying Charger 25 (fid=88)",78.0,25,
Car 239,,,,,25,switch,"Charger 25 (fid=88) not available, trying Charger 10 (fid=85)",80.25577105422764,10,
Car 91,,,,53,,arrived,arrived,81.0,,
Car 91,,53,22,,,start_charge,starting to charge at Charger 22 (fid=53),81.0,,
Car 239,,85,10,,,start_charge,starting to charge at Charger 10 (fid=85),81.65021054470895,,
Car 240,71.0,76,11,,,done,done charging,84.0,,101.37431941770164
Car 18,66.0,70,24,,,done,done charging,100.0,,45.8953340525429
Car 99,,,,76,,arrived,arrived,102.0,,
Car 99,,76,11,,,start_charge,starting to charge at Charger 11 (fid=76),102.0,,
Car 30,67.0,74,1,,,done,done charging,107.46536556800311,,205.3649518146585
Car 22,,,,20,,arrived,arrived,110.0,,
Car 22,,,,,9,switch,"Charger 9 (fid=19) not available, trying Charger 23 (fid=69)",111.0,23,
Car 22,,69,23,,,start_charge,starting to charge at Charger 23 (fid=69),111.5720196307905,,
Car 249,,,,56,,arrived,arrived,113.0,,
Car 249,,70,24,,,start_charge,starting to charge at Charger 24 (fid=70),113.0,,
Car 43,,,,20,,arrived,arrived,116.0,,
Car 188,,,,9,,arrived,arrived,117.0,,
Car 43,,,,,9,switch,"Charger 9 (fid=19) not available, trying Charger 23 (fid=69)",117.0,23,
Car 188,,11,3,,,start_charge,starting to charge at Charger 3 (fid=11),117.0,,
Car 43,,,,,23,switch,"Charger 23 (fid=69) not available, trying Charger 19 (fid=115)",118.5720196307905,19,
Car 43,,115,19,,,start_charge,starting to charge at Charger 19 (fid=115),119.35938627806667,,
Car 97,,,,18,,arrived,arrived,120.0,,
Car 97,,,,,18,switch,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",121.0,6,
Car 94,,,,61,,arrived,arrived,122.0,,
Car 94,,61,12,,,start_charge,starting to charge at Charger 12 (fid=61),122.0,,
Car 97,,,,,6,switch,"Charger 6 (fid=34) not available, trying Charger 24 (fid=70)",122.24426400332199,24,
Car 189,,,,50,,arrived,arrived,124.0,,
Car 126,103.0,5,21,,,done,done charging,124.0,,181.4624086880449
Car 97,,,,,24,switch,"Charger 24 (fid=70) not available, trying Charger 9 (fid=19)",124.5562922158775,9,
Car 189,,,,,12,switch,"Charger 12 (fid=61) not available, trying Charger 22 (fid=53)",125.0,22,
Car 97,,,,,9,switch,"Charger 9 (fid=19) not available, trying Charger 23 (fid=69)",126.80289747343002,23,
Car 91,46.0,53,22,,,done,done charging,127.0,,67.7459990532224
Car 97,,,,,23,switch,"Charger 23 (fid=69) not available, trying Charger 19 (fid=115)",128.37491710422051,19,
Car 189,,53,22,,,start_charge,starting to charge at Charger 22 (fid=53),128.79943684351704,,
Car 97,,,,,19,switch,"Charger 19 (fid=115) not available, trying Charger 20 (fid=26)",130.16228375149666,20,
Car 226,107.0,3,17,,,done,done charging,131.0,,94.88377395867221
Car 97,,,,,20,switch,"Charger 20 (fid=26) not available, trying Charger 3 (fid=11)",132.78007460076543,3,
Car 17,111.0,19,9,,,done,done charging,136.0,,52.22579306284636
Car 97,,,,,3,switch,"Charger 3 (fid=11) not available, trying Charger 5 (fid=22)",137.1413916478508,5,
Car 168,66.0,63,4,,,done,done charging,140.77102895441598,,159.66979173073472
Car 97,,22,5,,,start_charge,starting to charge at Charger 5 (fid=22),141.2711001244398,,
Car 160,,,,54,,arrived,arrived,144.0,,
Car 160,,,,,24,switch,"Charger 24 (fid=70) not available, trying Charger 18 (fid=35)",145.0,18,
Car 225,,,,51,,arrived,arrived,146.0,,
Car 104,120.0,35,18,,,done,done charging,146.0,,49.57987344251647
Car 160,,35,18,,,start_charge,starting to charge at Charger 18 (fid=35),146.2941806509212,,
Car 225,,,,,22,switch,"Charger 22 (fid=53) not available, trying Charger 14 (fid=15)",147.0,14,
Car 225,,15,14,,,start_charge,starting to charge at Charger 14 (fid=15),148.7863896867112,,
Car 75,,,,39,,arrived,arrived,151.0,,
Car 75,,,,,12,switch,"Charger 12 (fid=61) not available, trying Charger 14 (fid=15)",152.0,14,
Car 26,,,,58,,arrived,arrived,156.0,,
Car 26,,5,7,,,start_charge,starting to charge at Charger 7 (fid=5),156.0,,
Car 75,,,,,14,switch,"Charger 14 (fid=15) not available, trying Charger 22 (fid=53)",156.76516233645532,22,
Car 75,,,,,22,switch,"Charger 22 (fid=53) not available, trying Charger 3 (fid=11)",159.55155202316652,3,
Car 67,92.0,26,20,,,done,done charging,160.70718835232395,,196.2010075287334
Car 75,,,,,3,switch,"Charger 3 (fid=11) not available, trying Charger 18 (fid=35)",165.1203847301914,18,
Car 75,,,,,18,switch,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",168.72626297524386,6,
