car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 132,,,,41,,arrived,arrived,3.0,,
Car 132,,31,6,,,start_charge,starting to charge at Charger 6 (fid=31),3.0,,
Car 119,,,,68,,arrived,arrived,17.0,,
Car 166,,,,61,,arrived,arrived,17.0,,
Car 119,,21,19,,,start_charge,starting to charge at Charger 19 (fid=21),17.0,,
Car 166,,40,11,,,start_charge,starting to charge at Charger 11 (fid=40),17.0,,
Car 131,,,,32,,arrived,arrived,21.0,,
Car 131,,35,28,,,start_charge,starting to charge at Charger 28 (fid=35),21.0,,
Car 232,,,,24,,arrived,arrived,32.0,,
Car 232,,22,7,,,start_charge,starting to charge at Charger 7 (fid=22),32.0,,
Car 114,,,,45,,arrived,arrived,35.0,,
Car 114,,11,4,,,start_charge,starting to charge at Charger 4 (fid=11),35.0,,
Car 249,,,,32,,arrived,arrived,37.0,,
Car 249,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",38.0,12,
Car 249,,33,12,,,start_charge,starting to charge at Charger 12 (fid=33),38.29890434445544,,
Car 67,,,,58,,arrived,arrived,39.0,,
Car 67,,5,16,,,start_charge,starting to charge at Charger 16 (fid=5),39.0,,
Car 42,,,,51,,arrived,arrived,49.0,,
Car 75,,,,42,,arrived,arrived,49.0,,
Car 42,,51,22,,,start_charge,starting to charge at Charger 22 (fid=51),49.0,,
Car 75,,47,5,,,start_charge,starting to charge at Charger 5 (fid=47),49.0,,
Car 164,,,,11,,arrived,arrived,57.0,,
Car 164,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 26 (fid=57)",58.0,26,
Car 164,,57,26,,,start_charge,starting to charge at Charger 26 (fid=57),60.239345697748114,,
Car 216,,,,67,,arrived,arrived,62.0,,
Car 216,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 6 (fid=31)",63.0,6,
Car 216,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 4 (fid=11)",67.74842322038599,4,
Car 48,,,,14,,arrived,arrived,68.0,,
Car 48,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",69.0,12,
Car 48,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 25 (fid=70)",70.29890434445544,25,
Car 48,,70,25,,,start_charge,starting to charge at Charger 25 (fid=70),71.66557289814442,,
Car 56,,,,43,,arrived,arrived,72.0,,
Car 56,,48,24,,,start_charge,starting to charge at Charger 24 (fid=48),72.0,,
Car 216,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 25 (fid=70)",73.0992559888218,25,
Car 216,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 5 (fid=47)",76.43354666262117,5,
Car 119,62.0,21,19,,,done,done charging,79.0,,58.96096273707809
Car 218,,,,72,,arrived,arrived,80.0,,
Car 218,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 26 (fid=57)",81.0,26,
Car 216,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 20 (fid=56)",82.16354643571046,20,
Car 31,,,,81,,arrived,arrived,83.0,,
Car 142,,,,26,,arrived,arrived,83.0,,
Car 218,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 28 (fid=35)",83.09801468461805,28,
Car 31,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 14 (fid=28)",84.0,14,
Car 142,,,,,7,switch,"Charger 7 (fid=22) not available, trying Charger 28 (fid=35)",84.0,28,
Car 31,,28,14,,,start_charge,starting to charge at Charger 14 (fid=28),84.65837531809632,,
