car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 138,,,,41,,arrived,,arrived,3.0,,
Car 138,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),3.0,,
Car 125,,,,68,,arrived,,arrived,17.0,,
Car 172,,,,61,,arrived,,arrived,17.0,,
Car 125,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),17.0,,
Car 172,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),17.0,,
Car 137,,,,32,,arrived,,arrived,21.0,,
Car 137,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",22.0,3,
Car 137,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),27.48413509728204,,
Car 120,,,,45,,arrived,,arrived,35.0,,
Car 120,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",36.0,0,
Car 73,,,,58,,arrived,,arrived,39.0,,
Car 73,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",40.0,2,
Car 120,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",42.76523641406859,3,
Car 73,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",48.59623587104941,0,
Car 48,,,,51,,arrived,,arrived,49.0,,
Car 81,,,,42,,arrived,,arrived,49.0,,
Car 120,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",49.24937151135063,1,
Car 48,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 2 (fid=8)",50.0,2,
Car 81,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",50.0,0,
Car 81,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",54.907079034741635,2,
Car 73,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",55.361472285118,1,
Car 6,,,,41,,arrived,,arrived,56.0,,
Car 170,,,,11,,arrived,,arrived,57.0,,
Car 6,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",57.0,0,
Car 170,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",58.0,2,
Car 48,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 0 (fid=115)",58.59623587104941,0,
Car 120,,,,,,gave_up,1,"no alternate charger available, gave up",58.776666888124055,,
Car 73,,,,,,gave_up,1,"no alternate charger available, gave up",60.26855131985963,,
Car 81,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",61.672315448810224,3,
Car 6,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",61.907079034741635,2,
Car 170,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",64.7652364140686,3,
Car 48,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",65.361472285118,1,
Car 54,,,,14,,arrived,,arrived,68.0,,
Car 6,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",68.67231544881022,3,
Car 54,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",69.0,3,
Car 81,,,,,,gave_up,3,"no alternate charger available, gave up",70.26855131985963,,
Car 48,,,,,,gave_up,1,"no alternate charger available, gave up",70.26855131985963,,
Car 62,,,,43,,arrived,,arrived,72.0,,
Car 62,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",73.0,0,
Car 170,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",73.361472285118,1,
Car 54,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",75.48413509728204,1,
Car 6,,,,,,gave_up,3,"no alternate charger available, gave up",77.26855131985963,,
Car 62,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",77.90707903474163,2,
Car 125,62.0,115,0,,,done,,done charging,79.0,,60.76119551332306
Car 170,,,,,,gave_up,1,"no alternate charger available, gave up",82.88876766189142,,
Car 37,,,,81,,arrived,,arrived,83.0,,
Car 148,,,,26,,arrived,,arrived,83.0,,
Car 148,,115,0,,,start_charge,,starting to charge at Charger 0 (fid=115),83.0,,
Car 37,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",84.0,0,
Car 62,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 3 (fid=12)",84.67231544881022,3,
Car 54,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",85.01143047405546,2,
Car 89,,,,80,,arrived,,arrived,88.0,,
Car 89,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",89.0,3,
Car 37,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",90.48413509728204,2,
Car 137,64.0,12,3,,,done,,done charging,91.48413509728204,,350.987450584088
Car 54,,,,,,gave_up,2,"no alternate charger available, gave up",91.834879889358,,
Car 62,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),92.26855131985963,,
Car 89,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",95.48413509728204,1,
Car 37,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 1 (fid=33)",97.24937151135063,1,
Car 201,,,,21,,arrived,,arrived,101.0,,
Car 201,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",102.0,0,
Car 37,,,,,,gave_up,1,"no alternate charger available, gave up",104.0728209266532,,
Car 89,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",105.01143047405546,2,
Car 138,104.0,33,1,,,done,,done charging,107.0,,185.6709485428366
Car 201,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 1 (fid=33)",108.48413509728204,1,
Car 135,,,,18,,arrived,,arrived,110.0,,
Car 135,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 3 (fid=12)",111.0,3,
Car 89,,,,,,gave_up,2,"no alternate charger available, gave up",111.834879889358,,
Car 201,,33,1,,,start_charge,,starting to charge at Charger 1 (fid=33),112.39121413202366,,
Car 34,,,,41,,arrived,,arrived,116.0,,
Car 172,100.0,8,2,,,done,,done charging,117.0,,347.727749068635
Car 34,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 0 (fid=115)",117.0,0,
Car 135,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",117.48413509728204,1,
Car 34,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",121.90707903474163,2,
Car 78,,,,46,,arrived,,arrived,122.0,,
Car 78,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 2 (fid=8)",123.0,2,
Car 150,,,,34,,arrived,,arrived,125.0,,
