car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 171,,,,34,,arrived,,arrived,8.0,,
Car 171,,33,2,,,start_charge,,starting to charge at Charger 2 (fid=33),8.0,,
Car 143,,,,20,,arrived,,arrived,15.0,,
Car 143,,18,0,,,start_charge,,starting to charge at Charger 0 (fid=18),15.0,,
Car 6,,,,32,,arrived,,arrived,18.0,,
Car 6,,,,,2,switch,,"Charger 2 (fid=33) not available, trying Charger 3 (fid=27)",19.0,3,
Car 6,,27,3,,,start_charge,,starting to charge at Charger 3 (fid=27),19.904157118402736,,
Car 44,,,,84,,arrived,,arrived,29.0,,
Car 44,,33,6,,,start_charge,,starting to charge at Charger 6 (fid=33),29.0,,
Car 247,,,,90,,arrived,,arrived,31.0,,
Car 247,,,,,6,switch,,"Charger 6 (fid=33) not available, trying Charger 0 (fid=18)",32.0,0,
Car 247,,,,,0,switch,,"Charger 0 (fid=18) not available, trying Charger 7 (fid=16)",33.80328480244857,7,
Car 247,,16,7,,,start_charge,,starting to charge at Charger 7 (fid=16),35.49828142470299,,
Car 54,,,,25,,arrived,,arrived,42.0,,
Car 54,,,,,6,switch,,"Charger 6 (fid=33) not available, trying Charger 0 (fid=18)",43.0,0,
Car 54,,,,,0,switch,,"Charger 0 (fid=18) not available, trying Charger 4 (fid=22)",44.80328480244857,4,
Car 54,,22,4,,,start_charge,,starting to charge at Charger 4 (fid=22),47.48115115910153,,
Car 137,,,,90,,arrived,,arrived,49.0,,
Car 181,,,,13,,arrived,,arrived,49.0,,
Car 137,,,,,6,switch,,"Charger 6 (fid=33) not available, trying Charger 0 (fid=18)",50.0,0,
Car 181,,,,,4,switch,,"Charger 4 (fid=22) not available, trying Charger 3 (fid=27)",50.0,3,
Car 137,,,,,0,switch,,"Charger 0 (fid=18) not available, trying Charger 7 (fid=16)",51.80328480244857,7,
Car 181,,,,,3,switch,,"Charger 3 (fid=27) not available, trying Charger 2 (fid=33)",52.93759700149221,2,
Car 137,,,,,7,switch,,"Charger 7 (fid=16) not available, trying Charger 5 (fid=9)",54.49828142470299,5,
Car 181,,,,,2,switch,,"Charger 2 (fid=33) not available, trying Charger 0 (fid=18)",54.841754119894944,0,
Car 137,,9,5,,,start_charge,,starting to charge at Charger 5 (fid=9),57.91560905329156,,
Car 8,,,,59,,arrived,,arrived,59.0,,
Car 8,,,,,5,switch,,"Charger 5 (fid=9) not available, trying Charger 7 (fid=16)",60.0,7,
