car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 239,,,,87,,arrived,arrived,13.0,,
Car 239,,76,11,,,start_charge,starting to charge at Charger 11 (fid=76),13.0,,
Car 276,,,,16,,arrived,arrived,15.0,,
Car 276,,11,3,,,start_charge,starting to charge at Charger 3 (fid=11),15.0,,
Car 125,,,,38,,arrived,arrived,21.0,,
Car 125,,5,21,,,start_charge,starting to charge at Charger 21 (fid=5),21.0,,
Car 225,,,,21,,arrived,arrived,24.0,,
Car 225,,3,17,,,start_charge,starting to charge at Charger 17 (fid=3),24.0,,
Car 16,,,,21,,arrived,arrived,25.0,,
Car 16,,19,9,,,start_charge,starting to charge at Charger 9 (fid=19),25.0,,
Car 103,,,,29,,arrived,arrived,26.0,,
Car 103,,35,18,,,start_charge,starting to charge at Charger 18 (fid=35),26.0,,
Car 17,,,,72,,arrived,arrived,34.0,,
Car 17,,71,29,,,start_charge,starting to charge at Charger 29 (fid=71),34.0,,
Car 29,,,,3,,arrived,arrived,37.0,,
Car 29,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 1 (fid=74)",38.0,1,
Car 29,,74,1,,,start_charge,starting to charge at Charger 1 (fid=74),40.4653655680031,,
Car 9,,,,70,,arrived,arrived,58.0,,
Car 259,,,,33,,arrived,arrived,59.0,,
Car 9,,,,,29,switch,"Charger 29 (fid=71) not available, trying Charger 24 (fid=70)",59.0,24,
Car 9,,70,24,,,start_charge,starting to charge at Charger 24 (fid=70),59.59518555183776,,
Car 259,,,,,18,switch,"Charger 18 (fid=35) not available, trying Charger 6 (fid=34)",60.0,6,
Car 259,,34,6,,,start_charge,starting to charge at Charger 6 (fid=34),60.24426400332198,,
Car 66,,,,79,,arrived,arrived,65.0,,
Car 68,,,,82,,arrived,arrived,66.0,,
Car 66,,,,,17,switch,"Charger 17 (fid=3) not available, trying Charger 27 (fid=25)",66.0,27,
Car 68,,,,,11,switch,"Charger 11 (fid=76) not available, trying Charger 25 (fid=88)",67.0,25,
Car 68,,88,25,,,start_charge,starting to charge at Charger 25 (fid=88),68.25577105422764,,
Car 66,,25,27,,,start_charge,starting to charge at Charger 27 (fid=25),68.62460837204186,,
Car 167,,,,37,,arrived,arrived,72.0,,
Car 167,,73,28,,,start_charge,starting to charge at Charger 28 (fid=73),72.0,,
Car 238,,,,2,,arrived,arrived,77.0,,
Car 238,,,,,11,switch,"Charger 11 (fid=76) not available, trying Charger 25 (fid=88)",78.0,25,
Car 238,,,,,25,switch,"Charger 25 (fid=88) not available, trying Charger 10 (fid=85)",80.25577105422764,10,
Car 90,,,,53,,arrived,arrived,81.0,,
Car 90,,53,22,,,start_charge,starting to charge at Charger 22 (fid=53),81.0,,
Car 238,,85,10,,,start_charge,starting to charge at Charger 10 (fid=85),81.65021054470895,,
Car 239,71.0,76,11,,,done,done charging,84.0,,101.37431941770164
Car 250,,,,75,,arrived,arrived,95.0,,
Car 250,,15,14,,,start_charge,starting to charge at Charger 14 (fid=15),95.0,,
Car 17,66.0,71,29,,,done,done charging,100.0,,41.763074447029354
Car 98,,,,76,,arrived,arrived,102.0,,
Car 98,,76,11,,,start_charge,starting to charge at Charger 11 (fid=76),102.0,,
Car 259,45.0,34,6,,,done,done charging,105.24426400332197,,26.38543377727692
Car 29,67.0,74,1,,,done,done charging,107.46536556800311,,205.3649518146585
Car 21,,,,20,,arrived,arrived,110.0,,
Car 291,,,,7,,arrived,arrived,111.0,,
Car 21,,,,,9,switch,"Charger 9 (fid=19) not available, trying Charger 23 (fid=69)",111.0,23,
Car 291,,1,8,,,start_charge,starting to charge at Charger 8 (fid=1),111.0,,
Car 21,,69,23,,,start_charge,starting to charge at Charger 23 (fid=69),111.5720196307905,,
Car 248,,,,56,,arrived,arrived,113.0,,
Car 248,,71,29,,,start_charge,starting to charge at Charger 29 (fid=71),113.0,,
Car 42,,,,20,,arrived,arrived,116.0,,
Car 187,,,,9,,arrived,arrived,117.0,,
