car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,waited,walking_dist_m
Car 0,,,,74,,arrived,,arrived,15.5350050175778,,,
Car 0,,307904,2,,,start_charge,,starting to charge at Charger 2 (fid=307904),15.5350050175778,,0.0,
Car 1,,,,4,,arrived,,arrived,24.296048247024856,,,
Car 1,,6,11,,,start_charge,,starting to charge at Charger 11 (fid=6),24.296048247024856,,0.0,
Car 2,,,,52,,arrived,,arrived,25.2342948498507,,,
Car 2,,1,6,,,start_charge,,starting to charge at Charger 6 (fid=1),25.2342948498507,,0.0,
Car 3,,,,33,,arrived,,arrived,30.67648328211651,,,
Car 3,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),30.67648328211651,,0.0,
Car 4,,,,60,,arrived,,arrived,45.477264176418146,,,
Car 4,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),45.477264176418146,,0.0,
Car 5,,,,54,,arrived,,arrived,47.02791534208636,,,
Car 5,,16,21,,,start_charge,,starting to charge at Charger 21 (fid=16),47.02791534208636,,0.0,
Car 6,,,,11,,arrived,,arrived,50.665311091502886,,,
Car 6,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),50.665311091502886,,0.0,
Car 7,,,,62,,arrived,,arrived,76.91027066398223,,,
Car 8,,,,117,,arrived,,arrived,78.19876356473564,,,
Car 7,,,,,16,switch,,"Charger 16 (fid=11) not available, trying Charger 11 (fid=6)",81.91027066398223,11,,
Car 8,,,,,2,switch,,"Charger 2 (fid=307904) not available, trying Charger 3 (fid=307905)",83.19876356473564,3,,
Car 8,,307905,3,,,start_charge,,starting to charge at Charger 3 (fid=307905),83.4623897462997,,5.0,
Car 7,,6,11,,,start_charge,,starting to charge at Charger 11 (fid=6),84.07466679743546,,5.0,
Car 9,,,,116,,arrived,,arrived,88.59581724914135,,,
Car 9,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),88.59581724914135,,0.0,
Car 10,,,,35,,arrived,,arrived,90.28121134904342,,,
Car 10,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),90.28121134904342,,0.0,
Car 11,,,,15,,arrived,,arrived,95.00292236730186,,,
Car 11,,15,20,,,start_charge,,starting to charge at Charger 20 (fid=15),95.00292236730186,,0.0,
Car 12,,,,50,,arrived,,arrived,105.34825224943344,,,
Car 12,,3,8,,,start_charge,,starting to charge at Charger 8 (fid=3),105.34825224943344,,0.0,
Car 0,94.0,307904,2,,,done,,done charging,109.5350050175778,,,284.65712019666825
Car 3,83.0,308702,1,,,done,,done charging,113.67648328211651,,,146.74188595030165
Car 13,,,,37,,arrived,,arrived,114.48677311172011,,,
Car 13,,4,10,,,start_charge,,starting to charge at Charger 10 (fid=4),114.48677311172011,,0.0,
Car 5,72.0,16,21,,,done,,done charging,119.02791534208636,,,118.94727513613947
Car 1,98.0,6,11,,,done,,done charging,122.29604824702486,,,155.83829843806083
Car 6,81.0,11,16,,,done,,done charging,131.66531109150287,,,21.885254529647014
Car 14,,,,61,,arrived,,arrived,135.03038048174642,,,
Car 14,,3,8,,,start_charge,,starting to charge at Charger 8 (fid=3),135.03038048174642,,0.0,
Car 2,110.0,1,6,,,done,,done charging,135.2342948498507,,,87.08299239818483
Car 4,90.0,11,16,,,done,,done charging,135.47726417641815,,,159.75838309821387
Car 15,,,,33,,arrived,,arrived,138.60885415915996,,,
Car 15,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),138.60885415915996,,0.0,
Car 7,57.0,6,11,,,done,,done charging,141.07466679743544,,,195.36359262615366
Car 11,54.0,15,20,,,done,,done charging,149.00292236730186,,,87.95860409475057
Car 10,63.0,14,19,,,done,,done charging,153.28121134904342,,,64.11078269606331
Car 16,,,,46,,arrived,,arrived,157.1021398005199,,,
Car 16,,308702,1,,,start_charge,,starting to charge at Charger 1 (fid=308702),157.1021398005199,,0.0,
Car 8,77.0,307905,3,,,done,,done charging,160.46238974629972,,,195.8532583149443
Car 17,,,,28,,arrived,,arrived,168.61303415979538,,,
Car 17,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),168.61303415979538,,0.0,
Car 13,57.0,4,10,,,done,,done charging,171.4867731117201,,,131.70605267379972
Car 18,,,,22,,arrived,,arrived,174.12995702637497,,,
Car 18,,13,18,,,start_charge,,starting to charge at Charger 18 (fid=13),174.12995702637497,,0.0,
Car 19,,,,72,,arrived,,arrived,174.58477535809442,,,
Car 19,,14,19,,,start_charge,,starting to charge at Charger 19 (fid=14),174.58477535809442,,0.0,
Car 20,,,,71,,arrived,,arrived,178.96712856225918,,,
Car 20,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 0 (fid=308440)",183.96712856225918,0,,
Car 20,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),185.56152302412426,,5.0,
Car 21,,,,62,,arrived,,arrived,186.04207248410194,,,
Car 21,,11,16,,,start_charge,,starting to charge at Charger 16 (fid=11),186.04207248410194,,0.0,
Car 12,87.0,3,8,,,done,,done charging,192.34825224943344,,,259.51105596595494
Car 9,113.0,308440,0,,,done,,done charging,201.59581724914136,,,174.58820199753484
Car 22,,,,25,,arrived,,arrived,206.05031012722702,,,
Car 22,,308440,0,,,start_charge,,starting to charge at Charger 0 (fid=308440),206.05031012722702,,0.0,
Car 23,,,,71,,arrived,,arrived,208.3285629271628,,,
Car 15,71.0,308702,1,,,done,,done charging,209.60885415915996,,,146.74188595030165
Car 23,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 0 (fid=308440)",213.3285629271628,0,,
Car 23,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 21 (fid=16)",219.92295738902789,21,,
Car 14,85.0,3,8,,,done,,done charging,220.03038048174642,,,140.0749914334876
Car 24,,,,17,,arrived,,arrived,221.03903591492647,,,
Car 23,,16,21,,,start_charge,,starting to charge at Charger 21 (fid=16),222.36770967675,,10.0,
Car 25,,,,21,,arrived,,arrived,223.78990489560772,,,
Car 24,,,,,19,switch,,"Charger 19 (fid=14) not available, trying Charger 11 (fid=6)",226.03903591492647,11,,
Car 25,,,,,0,switch,,"Charger 0 (fid=308440) not available, trying Charger 19 (fid=14)",228.78990489560772,19,,
Car 24,,6,11,,,start_charge,,starting to charge at Charger 11 (fid=6),229.24985266871252,,5.0,
